catalog,schema,table_name,table_type,format,created_at,last_modified,owner,comment
dev,bronze_aidi,aidi_otel_spans,MANAGED,DELTA,2026-05-19 18:55:36.924,2026-05-19 18:55:37.631,nan.kishore@bal.com,
dev,bronze_aifga,dataset_ground_truth,MANAGED,DELTA,2026-07-06 15:32:39.491,2026-07-06 15:33:19.998,z.jia@bal.com,
dev,bronze_aifga,traces_otel_annotations,MANAGED,DELTA,2026-07-01 03:49:00.933,2026-07-09 21:19:13.844,z.jia@bal.com,
dev,bronze_aifga,traces_otel_logs,MANAGED,DELTA,2026-07-01 03:48:57.510,2026-07-01 03:48:57.510,z.jia@bal.com,
dev,bronze_aifga,traces_otel_metrics,MANAGED,DELTA,2026-07-01 03:48:58.686,2026-07-01 03:48:58.686,z.jia@bal.com,
dev,bronze_aifga,traces_otel_spans,MANAGED,DELTA,2026-07-01 03:48:59.755,2026-07-20 21:00:02.560,z.jia@bal.com,
dev,bronze_aifga,traces_trace_metadata,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-07-01 03:49:01.911,2026-07-01 03:49:01.911,z.jia@bal.com,
dev,bronze_aifga,traces_trace_unified,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-07-01 03:49:01.750,2026-07-01 03:49:01.750,z.jia@bal.com,
dev,bronze_aiguardrails,scan_results,MANAGED,DELTA,2026-07-02 21:23:28.498,2026-07-07 03:37:31.416,z.jia@bal.com,
dev,bronze_ails,dataset_ground_truth,MANAGED,DELTA,2026-07-01 04:32:31.086,2026-07-06 15:08:55.926,z.jia@bal.com,
dev,bronze_ails,knowledge_search_dataset_ground_truth,MANAGED,DELTA,2026-07-21 23:57:05.298,2026-08-03 19:17:55.377,acrim@bal.com,
dev,bronze_ails,search_accuracy_report,MANAGED,DELTA,2026-07-21 23:09:56.372,2026-08-03 19:18:13.219,acrim@bal.com,
dev,bronze_ails,traces_otel_annotations,MANAGED,DELTA,2026-07-01 03:47:25.745,2026-07-17 14:31:38.859,z.jia@bal.com,
dev,bronze_ails,traces_otel_logs,MANAGED,DELTA,2026-07-01 03:47:23.393,2026-07-01 03:47:23.393,z.jia@bal.com,
dev,bronze_ails,traces_otel_metrics,MANAGED,DELTA,2026-07-01 03:47:24.591,2026-07-01 03:47:24.591,z.jia@bal.com,
dev,bronze_ails,traces_otel_spans,MANAGED,DELTA,2026-07-01 03:47:22.149,2026-07-20 21:35:52.198,z.jia@bal.com,
dev,bronze_ails,traces_trace_metadata,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-07-01 03:47:26.662,2026-07-01 03:47:26.662,z.jia@bal.com,
dev,bronze_ails,traces_trace_unified,VIEW,UNKNOWN_DATA_SOURCE_FORMAT,2026-07-01 03:47:26.501,2026-07-01 03:47:26.501,z.jia@bal.com,
